"note_user_area_rel","note_id"
"note_user_area_rel","user_id"
"note_user_area_rel","area_id"
"invoice_partnerytype_rel","invoice_id"
"invoice_partnerytype_rel","partnerytype_id"
"recurringpayment_maturitytype_rel","recurringpayment_id"
"recurringpayment_maturitytype_rel","maturitytype_id"
"bankdata","bankdata_id"
"bankdata","bankdata_iban"
"bankdata","bankdata_bank_name"
"bankdata","bankdata_vat"
"bankdata","bankdata_account_number"
"bankdata","bankdata_bank_code_number"
"bankdata","bankdata_bic"
"bankdata","bankdata_is_active"
"costtype","costtype_id"
"costtype","costtype_name"
"costtype","costtype_description"
"address","address_id"
"address","address_creation_time"
"address","address_last_change_time"
"address","address_street"
"address","address_house_number"
"address","address_extra"
"invoiceposition_inspectionresult_rel","invoiceposition_id"
"invoiceposition_inspectionresult_rel","inspectionresult_id"
"partnergroup_contactperson_rel","partnergroup_id"
"partnergroup_contactperson_rel","contactperson_id"
"recurringpayment","recurringpayment_id"
"recurringpayment","recurringpayment_sum_per_month"
"recurringpayment","recurringpayment_condition_percentage"
"recurringpayment","recurringpayment_percentage"
"recurringpayment","recurringpayment_begin_date"
"recurringpayment","recurringpayment_condition_comment"
"recurringpayment","recurringpayment_maturity_date"
"recurringpayment","recurringpayment_maturity_daily_range"
"recurringpayment","recurringpayment_maturity_monthly_range"
"recurringpayment","reccuringpayment_value_deposit"
"recurringpayment","recurringpayment_end_date"
"documentcontracttype","documentcontracttype_id"
"documentcontracttype","contractdocumenttype_name"
"documentcontracttype","contractdocumenttype_description"
"invoicedeadline","invoicedeadline_id"
"invoicedeadline","invoicedeadline_name"
"invoicedeadline","invoicedeadline_description"
"contactperson_customergroup_rel","contactperson_id"
"contactperson_customergroup_rel","customergroup_id"
"costtype_externalcosttype_rel","costtype_id"
"costtype_externalcosttype_rel","externalcosttype_id"
"contract_area_unit_usagetype_rel","contract_id"
"contract_area_unit_usagetype_rel","area_id"
"contract_area_unit_usagetype_rel","contract_area_unit_usagetype_detail_description"
"contract_area_unit_usagetype_rel","contract_area_unit_usagetype_valid_to_date"
"contract_area_unit_usagetype_rel","contract_area_unit_usagetype_valid_from_date"
"contract_area_unit_usagetype_rel","contract_area_unit_usagetype_rentalspace_value"
"contract_area_unit_usagetype_rel","contract_area_unit_usagetype_allocationspace_value"
"contract_area_unit_usagetype_rel","unit_id"
"contract_area_unit_usagetype_rel","contract_area_unit_usagetype_mainusage"
"contract_area_unit_usagetype_rel","usagetype_id"
"document_correspondence_rel","document_id"
"document_correspondence_rel","correspondence_id"
"invoice_invoicevaluetype_rel","invoice_id"
"invoice_invoicevaluetype_rel","invoicevaluetype_id"
"invoice_invoicevaluetype_rel","invoice_invoicevaluetype_value"
"invoice_invoicevaluetype_rel","invoice_invoicevaluetype_creation_time"
"invoice_invoicevaluetype_rel","invoice_invoicevaluetype_last_change_time"
"company_contactdetails_rel","company_id"
"company_contactdetails_rel","contactdetails_id"
"contradictionpackage","contradictionpackage_id"
"contradictionpackage","contradictionpackage_creation_time"
"contradictionpackage","contradictionpackage_last_change_time"
"contradictionpackage","contradictionpackage_sum"
"partnertype","partnertype_id"
"partnertype","partnertype_name"
"partnertype","partnertype_description"
"country_currency_rel","country_id"
"country_currency_rel","currency_id"
"document_ticket_rel","ticket_id"
"document_ticket_rel","document_id"
"country_language_rel","country_id"
"country_language_rel","language_id"
"country_language_rel","country_language_is_official_language"
"note_user_pos_rel","note_id"
"note_user_pos_rel","user_id"
"note_user_pos_rel","pos_id"
"contactdetails","contactdetails_id"
"contactdetails","contactdetails_email"
"contactdetails","contactdetails_phone"
"contactdetails","contactdetails_mobile"
"contactdetails","contactdetails_fax"
"contactperson_contactdetails_rel","contactperson_id"
"contactperson_contactdetails_rel","contactdetails_id"
"1__attribute_blacklist","attribute_name"
"serviceobject","serviceobject_id"
"serviceobject","serviceobject_name"
"serviceobject","serviceobject_description"
"indexclause","indexclause_id"
"indexclause","indexclause_baseyear"
"indexclause","indexclause_begin_date"
"indexclause","indexclause_adjustment_description"
"indexclause","indexclause_adjustment_rule"
"indexclause","indexclause_indextransmission_percent"
"indexclause","indexclause_minimal_percent_change_agreed"
"indexclause","indexclause_minimal_point_change_agreed"
"resultcategorization","resultcategorization_id"
"resultcategorization","resultcategorization_name"
"resultcategorization","resultcategorization_description"
"claimtype","claimtype_id"
"claimtype","claimtype_name"
"claimtype","claimtype_description"
"1__config","config_key"
"1__config","config_val"
"partnercompany_contactdetails_rel","partnercompany_id"
"partnercompany_contactdetails_rel","contactdetails_id"
"usertype","usertype_id"
"usertype","usertype_name"
"usertype","usertype_description"
"pos","pos_id"
"pos","pos_creation_time"
"pos","pos_last_change_time"
"pos","pos_name"
"pos","pos_first_year"
"pos","pos_branchnumber"
"pos","pos_name_external"
"partnergroup","partnergroup_id"
"partnergroup","partnergroup_name"
"partnergroup","partnergroup_description"
"company","company_id"
"company","company_name"
"company","company_anschreiben_vorlage_betreff"
"company","company_anschreiben_vorlage_text"
"company","company_shortname"
"contactperson_user_rel","contactperson_id"
"contactperson_user_rel","user_id"
"note_user_contactperson_rel","note_id"
"note_user_contactperson_rel","user_id"
"note_user_contactperson_rel","contactperson_id"
"invoiceposition_serviceobject_rel","invoiceposition_id"
"invoiceposition_serviceobject_rel","serviceobject_id"
"contradictionpackage_groupticket_rel","contradictionpackage_id"
"contradictionpackage_groupticket_rel","group_ticket_id"
"pos_tag_rel","pos_id"
"pos_tag_rel","tag_id"
"locationtype","locationtype_id"
"locationtype","locationtype_name"
"locationtype","locationtype_description"
"partnercompany_companydetails_rel","partnercompany_id"
"partnercompany_companydetails_rel","companydetails_id"
"payment","payment_id"
"payment","payment_info"
"payment","payment_debitor"
"payment","payment_value"
"payment","payment_objectreference"
"payment","payment_date"
"payment","payment_type"
"note_user_contradiction_rel","note_id"
"note_user_contradiction_rel","user_id"
"note_user_contradiction_rel","contradiction_id"
"company_pos_rel","company_id"
"company_pos_rel","pos_id"
"criteria_contracttype_rel","criteria_id"
"criteria_contracttype_rel","contracttype_id"
"contradictionpackage_contradiction_rel","contradictionpackage_id"
"contradictionpackage_contradiction_rel","contradiction_id"
"contradictionpoint_rating_rel","contradictionpoint_id"
"contradictionpoint_rating_rel","rating_id"
"document_invoice_rel","document_id"
"document_invoice_rel","invoice_id"
"access","access_id"
"access","access_name"
"access","access_level"
"note_user_invoice_rel","note_id"
"note_user_invoice_rel","user_id"
"note_user_invoice_rel","invoice_id"
"contactperson_contacttitle_rel","contactperson_id"
"contactperson_contacttitle_rel","contacttitle_id"
"specialright","specialright_id"
"specialright","specialright_name"
"specialright","specialright_description"
"currency","currency_id"
"currency","currency_name"
"currency","currency_short"
"currency","currency_symbol"
"currency","currency_iso4217"
"contradictionpackage_contactperson_rel","contradictionpackage_id"
"contradictionpackage_contactperson_rel","contactperson_id"
"1__views","view_name"
"1__views","view_sql"
"note_user_location_rel","note_id"
"note_user_location_rel","user_id"
"note_user_location_rel","location_id"
"invoiceposition","invoiceposition_id"
"invoiceposition","invoiceposition_creation_time"
"invoiceposition","invoiceposition_last_change_date"
"invoiceposition","invoiceposition_name"
"invoiceposition","invoiceposition_costtype_invoice"
"invoiceposition","invoiceposition_total_units"
"invoiceposition","invoiceposition_units_customer"
"invoiceposition","invoiceposition_flat_rate"
"invoiceposition","invoiceposition_amount_total"
"invoiceposition","invoiceposition_amount_cusomter"
"invoiceposition","invoiceposition_apportionable"
"invoiceposition","invoiceposition_amount_obtained"
"column_default_value_rel","column_id"
"column_default_value_rel","default_value_id"
"recurringpayment_indexclause_rel","recurringpayment_id"
"recurringpayment_indexclause_rel","indexclause_id"
"invoice_invoicedeadline_rel","invoice_id"
"invoice_invoicedeadline_rel","invoicedeadline_id"
"invoice_invoicedeadline_rel","invoice_invoicedeadline_date"
"usagetype","usagetype_id"
"usagetype","usagetype_name"
"usagetype","usagetype_description"
"invoice_inspectionresult_rel","invoice_id"
"invoice_inspectionresult_rel","inspectionresult_id"
"invoice_inspectionresult_rel","invoice_inspectionresult_comment"
"invoicecriteria","invoicecriteria_id"
"invoicecriteria","invoicecriteria_name"
"invoicecriteria","invoicecriteria_description"
"contracttype","contracttype_id"
"contracttype","contracttype_name"
"contracttype","contracttype_description"
"invoice_invoiceposition_rel","invoice_id"
"invoice_invoiceposition_rel","invoiceposition_id"
"location_partnercompany_partnertype_rel","location_id"
"location_partnercompany_partnertype_rel","partnercompany_id"
"location_partnercompany_partnertype_rel","partnertype_id"
"location_partnercompany_partnertype_rel","location_partnercompany_partnertype_valid_from_date"
"location_partnercompany_partnertype_rel","location_partnercompany_partnertype_valid_to_date"
"recurringpayment_recurringpaymenttype_rel","recurringpayment_id"
"recurringpayment_recurringpaymenttype_rel","recurringpaymenttype_id"
"invoice_invoicecriteria_rel","invoice_id"
"invoice_invoicecriteria_rel","invoicecriteria_id"
"invoice_invoicecriteria_rel","invoice_invoicecriteria_is_set"
"serviceobjecttype","serviceobjecttype_id"
"serviceobjecttype","serviceobjecttype_name"
"serviceobjecttype","serviceobjecttype_description"
"externalcosttype","externalcosttype_id"
"externalcosttype","externalcosttype_name"
"ticket","ticket_id"
"ticket","ticket_creation_time"
"ticket","ticket_last_change_time"
"ticket","ticket_deadline"
"ticket","ticket_deadline_yellow"
"ticket","ticket_deadline_red"
"ticket","ticket_planned_treatment_week"
"ticket","ticket_name"
"ticket","ticket_progress"
"ticket","ticket_description"
"contract_recurringpayment_rel","contract_id"
"contract_recurringpayment_rel","recurringpayment_id"
"note_user_ticket_rel","note_id"
"note_user_ticket_rel","user_id"
"note_user_ticket_rel","ticket_id"
"correspondence_correspondencetype_rel","correspondence_id"
"correspondence_correspondencetype_rel","correspondencetype_id"
"ticket_team_rel","ticket_id"
"ticket_team_rel","team_id"
"city","city_id"
"city","city_name"
"city","city_zip"
"user_customergroup_rel","user_id"
"user_customergroup_rel","customergroup_id"
"1__translation","translation_id"
"1__translation","translation_lang"
"1__translation","translation_text"
"companydetails","companydetails_id"
"companydetails","companydetails_salestaxno"
"companydetails","companydetails_commercialregisterno"
"companydetails","companydetails_website"
"inspectionresult_claimtype_rel","inspectionresult_id"
"inspectionresult_claimtype_rel","claimtype_id"
